sn,condition,idcode,gender,age,class,height,weight,father_origin,religion,sibling-f,sibling-m,father-job,mother-job,mother_edu,father_edu,healtha,healthb,healthc,healthd,healthe,sussex1a,sussex1b,sussex1c,sussex1d,sussex1e,sussex2a,sussex2b,sussex2c,sussex2d,sussex2e,sussex3a,sussex3b,sussex3c,sussex3d,sussex3e,sussex4a,sussex4b,sussex4c,sussex4d,sussex4e,sussex5a,sussex5b,sussex5c,sussex5d,sussex5e,sussex6a,sussex6b,sussex6c,sussex6d,sussex6e,sussex7a,sussex7b,sussex7c,sussex7d,sussex7e,sussex8a,sussex8b,sussex8c,sussex8d,sussex8e,sussex9a,sussex9b,sussex9c,sussex9d,sussex9e,sussex10a,sussex10b,sussex10c,sussex10d,sussex10e,attnchk1,sussex11a,sussex11b,sussex11c,sussex11d,sussex11e,sussex12a,sussex12b,sussex12c,sussex12d,sussex12e,sussex13a,sussex13b,sussex13c,sussex13d,sussex13e,sussex14a,sussex14b,sussex14c,sussex14d,sussex14e,sussex15a,sussex15b,sussex15c,sussex15d,sussex15e,sussex16a,sussex16b,sussex16c,sussex16d,sussex16e,sussex17a,sussex17b,sussex17c,sussex17d,sussex17e,sussex18a,sussex18b,sussex18c,sussex18d,sussex18e,sussex19a,sussex19b,sussex19c,sussex19d,sussex19e,sussex20a,sussex20b,sussex20c,sussex20d,sussex20e,attnchk2,ames1a,ames1b,ames1c,ames1d,ames1e,ames2a,ames2b,ames2c,ames2d,ames2e,ames3a,ames3b,ames3c,ames3d,ames3e,ames4a,ames4b,ames4c,ames4d,ames4e,attnchk3,ames5a,ames5b,ames5c,ames5d,ames5e,ames6a,ames6b,ames6c,ames6d,ames6e,ames7a,ames7b,ames7c,ames7d,ames7e,ames8a,ames8b,ames8c,ames8d,ames8e,symp1a,symp1b,symp1c,symp1d,symp1e,symp2a,symp2b,symp2c,symp2d,symp2e,symp3a,symp3b,symp3c,symp3d,symp3e,iri1a,iri1b,iri1c,iri1d,iri1e,iri2a,iri2b,iri2c,iri2d,iri2e,iri3a,iri3b,iri3c,iri3d,iri3e,iri4a,iri4b,iri4c,iri4d,iri4e,iri5a,iri5b,iri5c,iri5d,iri5e,sds1a,sds1b,sds2a,sds2b,sds3a,sds3b,sds4a,sds4b,sds5a,sds5b,sds6a,sds6b,iosa,iosb,iosc,iosd,iose,swiss1,swiss2,swiss3,swiss4,swiss5,swiss6,swiss7,swiss8,sps1,sps2,sps3,sps4,sps5,sps6,emb1,emb2,emb3,emb4,emb5,emb6,emb7,emb8,emb9,emb10,emb11,emb12,emb13,emb14,emb15,school
198,3,Gp014,1,14,1,162,50,4,0,NA,1,Engineer,Chef,7,7,100,100,100,70,100,90,90,70,50,90,90,100,60,90,100,70,100,80,90,80,90,80,70,100,90,100,100,90,90,100,100,100,80,100,100,100,100,90,100,100,100,100,100,100,90,90,100,80,100,90,100,100,80,80,90,70,100,100,70,80,100,100,100,70,70,80,100,100,90,70,100,80,90,100,90,90,100,80,90,90,90,100,90,80,90,100,100,100,100,70,100,100,100,70,80,90,100,100,90,70,90,70,100,70,70,90,30,90,100,50,80,90,80,80,70,80,70,90,100,60,90,80,90,80,90,80,50,50,50,80,90,80,80,70,80,50,90,70,50,90,50,80,80,90,80,50,80,70,100,100,80,80,90,100,100,100,60,90,100,80,100,80,80,100,100,100,100,100,100,90,90,80,80,100,100,80,50,70,100,50,90,80,80,100,100,90,100,90,1,1,0,0,0,0,0,0,1,1,0,0,5,5,5,5,5,100,90,80,90,90,90,80,90,90,90,90,80,50,50,100,70,70,80,90,60,80,80,80,70,80,80,80,70,50,sch3
199,3,Gp017,0,17,1,171,60,24,1,2,2,Developer,Trader,1,6,100,100,100,100,100,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,90,100,100,100,90,100,100,100,100,100,100,100,100,100,90,100,100,100,100,100,90,100,100,100,90,90,100,100,90,100,100,100,100,100,100,100,100,90,100,100,100,80,100,100,100,100,100,100,100,100,90,100,100,100,100,90,100,100,100,100,90,100,100,100,100,70,90,90,100,100,90,90,100,100,100,80,100,100,100,100,80,90,100,100,100,100,80,90,90,80,90,100,80,100,100,80,100,90,90,100,100,80,70,90,100,100,100,90,90,100,100,100,90,90,100,100,100,100,100,100,100,90,100,100,100,100,90,90,100,100,100,90,100,100,100,100,90,100,100,100,100,100,100,100,100,100,1,1,1,1,1,1,1,1,0,0,1,0,6,6,1,6,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,90,100,100,90,100,sch3
200,3,Gp024,0,14,1,149,36,31,1,1,1,Transport,Trader,7,7,100,100,100,NA,NA,30,50,50,NA,NA,20,30,50,NA,NA,50,40,80,NA,NA,50,60,40,NA,NA,10,30,80,NA,NA,50,30,70,NA,NA,50,40,30,NA,NA,50,30,70,NA,NA,20,40,40,NA,NA,50,70,80,NA,NA,70,50,40,30,NA,NA,10,30,40,NA,NA,20,50,40,NA,NA,20,50,40,NA,NA,10,50,20,NA,NA,0,30,30,NA,NA,30,60,40,NA,NA,50,30,70,NA,NA,40,40,60,NA,NA,50,60,100,NA,NA,30,10,40,30,NA,NA,40,40,40,NA,NA,30,30,50,NA,NA,20,30,50,NA,NA,50,0,40,50,NA,NA,10,40,40,NA,NA,30,40,60,NA,NA,30,70,80,NA,NA,30,30,50,NA,NA,50,70,80,NA,NA,20,40,100,NA,NA,10,40,90,NA,NA,40,60,40,NA,NA,30,40,50,NA,NA,30,40,70,NA,NA,40,40,50,NA,NA,1,1,1,1,1,1,1,1,0,0,1,1,0,0,3,NA,NA,50,40,40,40,40,40,40,40,50,50,40,40,40,40,30,40,40,40,40,50,50,40,40,40,50,50,40,50,40,sch3
201,3,Gp031,1,14,1,151,45,31,1,1,1,Trader,Trader,7,7,100,100,100,100,NA,20,60,50,30,NA,0,50,30,60,NA,50,70,50,70,NA,60,50,50,100,NA,30,60,100,60,NA,50,60,40,50,NA,100,50,40,60,NA,100,70,40,50,NA,30,40,100,30,NA,50,20,60,50,NA,70,60,50,50,60,NA,0,60,70,40,NA,60,70,70,40,NA,10,30,60,60,NA,20,40,70,70,NA,30,50,60,70,NA,100,30,50,40,NA,40,70,70,30,NA,100,20,100,60,NA,60,50,100,70,NA,30,0,40,40,50,NA,10,30,40,60,NA,20,20,20,60,NA,10,30,40,60,NA,50,0,30,0,70,NA,0,30,30,70,NA,0,40,40,60,NA,20,30,50,30,NA,50,30,40,50,NA,90,30,70,70,NA,60,40,50,70,NA,80,30,50,60,NA,10,40,30,60,NA,30,30,70,60,NA,70,30,50,70,NA,70,50,40,70,NA,1,1,1,1,0,1,0,1,0,0,0,1,6,6,6,3,NA,60,50,50,30,70,40,60,50,40,40,40,50,50,50,30,30,40,50,60,70,70,70,60,60,60,60,70,70,70,sch3
202,3,Gp039,0,15,NA,150,35,8,0,0,2,Police,Police,1,7,100,70,NA,NA,NA,50,80,NA,NA,NA,100,80,NA,NA,NA,70,80,NA,NA,NA,90,50,NA,NA,NA,90,70,NA,NA,NA,100,80,NA,NA,NA,70,60,NA,NA,NA,100,100,NA,NA,NA,70,100,NA,NA,NA,100,60,NA,NA,NA,70,100,60,NA,NA,NA,70,80,NA,NA,NA,50,90,NA,NA,NA,50,80,NA,NA,NA,50,60,NA,NA,NA,80,90,NA,NA,NA,100,100,NA,NA,NA,70,70,NA,NA,NA,100,100,NA,NA,NA,100,90,NA,NA,NA,30,50,60,NA,NA,NA,60,80,NA,NA,NA,100,70,NA,NA,NA,100,80,NA,NA,NA,50,60,50,NA,NA,NA,70,60,NA,NA,NA,60,60,NA,NA,NA,70,40,NA,NA,NA,80,100,NA,NA,NA,100,80,NA,NA,NA,100,80,NA,NA,NA,100,100,NA,NA,NA,90,90,NA,NA,NA,90,100,NA,NA,NA,100,50,NA,NA,NA,100,50,NA,NA,NA,1,1,0,0,1,1,1,1,1,0,1,1,3,0,NA,NA,NA,60,60,30,50,60,90,60,100,80,80,90,100,80,20,70,60,50,70,90,90,100,90,90,60,50,50,70,60,60,sch3
203,3,Gp045,1,15,1,155,40,2,1,3,2,Tailor,Provision,1,1,100,100,100,100,NA,100,100,100,100,NA,100,100,70,70,NA,100,100,40,60,NA,100,100,80,70,NA,100,100,60,80,NA,60,100,80,60,NA,100,100,80,70,NA,100,100,80,100,NA,100,100,100,100,NA,100,100,100,100,NA,70,100,100,80,80,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,90,80,NA,100,100,100,80,NA,100,100,80,50,NA,100,100,70,80,NA,100,100,100,100,NA,100,100,100,60,NA,100,100,100,100,70,NA,100,100,90,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,60,NA,100,100,100,100,NA,100,100,60,70,NA,100,100,80,100,NA,100,100,100,90,NA,100,100,80,80,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,80,NA,100,100,100,90,NA,100,100,100,100,NA,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,sch3
204,3,Gp058,0,14,1,70,53,24,1,3,2,Engineer,Trader,7,7,100,100,100,100,100,100,80,60,70,70,50,40,60,70,70,40,60,50,60,70,100,80,60,70,70,100,100,100,80,70,100,100,60,70,70,100,60,100,80,100,100,100,60,100,70,50,50,60,70,60,50,70,70,70,70,70,80,70,60,80,70,50,40,50,60,60,70,100,60,80,70,70,60,60,70,70,50,50,50,50,60,50,60,60,70,70,50,50,60,70,60,50,60,60,80,70,100,80,60,80,80,50,60,50,90,60,30,80,50,70,70,50,70,60,60,70,60,100,70,60,50,50,100,100,60,70,50,50,0,50,40,30,50,50,20,40,60,40,100,100,50,90,40,70,40,60,40,50,100,100,80,100,50,100,70,60,100,70,70,60,80,90,70,20,40,60,70,80,40,40,70,80,80,20,60,60,70,50,20,60,70,70,50,60,40,80,50,60,1,1,0,0,0,1,0,0,0,0,0,0,6,6,6,6,6,40,50,50,50,40,60,40,50,40,60,50,40,60,60,100,100,100,100,100,50,50,60,70,70,60,60,60,60,50,sch3
205,3,Gp065,1,14,1,150,44,25,1,1,1,Mechanic,Trader,7,7,100,100,100,100,100,60,10,40,50,50,80,30,50,100,50,50,50,40,20,50,70,60,80,40,100,50,10,90,90,90,100,100,100,100,100,90,90,100,40,90,100,100,90,40,100,40,30,90,30,50,90,100,100,50,100,70,100,60,80,30,100,70,30,40,30,50,40,50,70,30,40,50,20,50,70,40,10,20,50,20,50,10,40,40,40,40,30,30,50,50,40,50,20,60,30,50,40,50,50,60,50,100,50,80,80,50,30,70,90,60,50,50,70,30,50,70,50,80,30,50,50,50,80,50,70,50,50,50,80,40,50,40,50,100,50,40,40,50,70,40,100,40,50,60,20,60,70,50,100,100,100,40,100,100,100,100,50,70,100,100,100,50,100,70,100,100,70,100,100,30,80,70,80,80,100,100,70,90,100,50,100,40,100,100,100,100,50,100,1,0,0,0,1,1,0,0,1,0,0,0,6,6,5,5,6,100,90,100,90,100,90,80,100,90,80,100,80,100,80,90,90,80,70,90,70,50,60,70,80,80,60,70,60,70,sch3
206,3,Gp088,0,15,2,167,50,25,1,2,3,Retired civil servant,A shoe seller,7,3,100,100,90,100,100,50,20,30,50,70,80,20,40,50,40,20,10,30,60,60,70,50,70,70,70,70,50,70,70,40,70,80,80,50,80,70,70,80,50,70,30,80,80,80,20,60,80,80,70,50,80,70,60,70,70,70,30,50,40,50,70,80,10,70,60,50,50,70,70,50,70,60,70,50,70,70,60,70,70,70,80,70,30,60,60,70,40,70,80,50,60,60,70,50,70,70,50,40,80,70,80,50,60,40,40,30,30,50,10,20,30,70,50,10,70,60,60,20,80,70,30,60,20,20,80,40,60,50,20,10,30,30,50,90,10,30,30,60,10,10,20,20,50,30,10,50,20,70,70,80,60,80,70,70,90,80,80,70,70,80,30,30,50,90,30,60,70,60,60,60,60,70,70,80,80,80,80,60,70,70,70,20,60,90,80,60,70,60,1,1,1,1,1,1,0,0,0,0,0,0,4,5,4,5,4,80,70,40,80,70,80,70,90,80,20,30,70,90,10,40,50,20,30,60,70,80,50,50,40,80,80,70,70,80,sch3
207,3,Gp089,0,16,2,161,56,24,1,2,1,Developer,Trader,7,7,100,100,NA,100,NA,10,80,NA,50,NA,10,90,NA,60,NA,30,80,NA,60,NA,30,50,NA,50,NA,40,80,NA,100,NA,100,90,NA,100,NA,0,80,NA,100,NA,50,70,NA,70,NA,100,90,NA,100,NA,80,100,NA,80,NA,70,100,80,NA,60,NA,90,0,NA,40,NA,100,80,NA,70,NA,100,90,NA,60,NA,30,100,NA,60,NA,40,80,NA,40,NA,80,100,NA,80,NA,50,80,NA,60,NA,100,100,NA,80,NA,80,100,NA,60,NA,30,20,50,NA,60,NA,30,80,NA,40,NA,70,70,NA,80,NA,80,100,NA,80,NA,50,0,0,NA,40,NA,10,40,NA,40,NA,40,20,NA,50,NA,90,40,NA,60,NA,100,80,NA,60,NA,100,100,NA,50,NA,70,70,NA,100,NA,50,90,NA,80,NA,90,80,NA,70,NA,60,60,NA,40,NA,100,100,NA,80,NA,90,100,NA,70,NA,0,1,0,0,1,1,0,0,0,0,0,0,3,3,NA,6,NA,50,70,70,80,80,80,80,70,80,70,80,40,80,40,90,100,80,70,100,80,80,80,0,30,20,70,50,0,0,sch3
208,3,Gp103,1,14,1,160,61,0,0,1,NA,Carpenter,Tailor,5,5,90,100,100,100,100,100,100,100,50,80,100,100,100,100,100,100,100,100,100,100,100,100,50,100,90,100,100,100,100,80,50,10,100,50,50,100,100,100,100,100,100,100,50,100,100,100,100,100,100,100,100,100,100,100,100,70,100,100,100,50,100,100,100,100,100,100,100,100,100,50,100,100,100,50,100,100,50,100,100,50,90,50,100,100,100,80,100,100,100,100,80,100,100,50,100,100,100,100,100,100,90,100,50,100,50,90,30,100,100,100,100,80,100,100,50,100,80,50,100,100,100,80,50,100,100,50,80,50,100,10,10,50,50,50,10,50,50,30,50,10,10,100,50,100,10,10,0,50,100,100,50,50,50,100,100,100,100,100,100,100,100,100,80,50,50,100,100,100,50,100,90,100,100,100,100,100,100,100,100,100,100,50,100,50,50,50,100,100,1,1,0,1,1,1,0,0,0,0,0,0,6,6,5,5,5,100,100,100,100,100,50,50,100,100,50,50,100,50,100,100,100,100,100,50,100,50,50,30,30,50,100,50,100,100,sch3
209,3,Gp112,1,15,2,161,53,24,1,4,4,Trader,Trader,7,7,100,100,70,70,50,100,100,70,60,80,70,60,70,100,90,50,100,100,100,80,40,50,50,100,70,60,50,80,90,100,70,100,100,50,100,50,60,80,70,100,60,70,100,50,100,60,50,100,100,100,100,100,70,80,60,70,100,100,90,70,100,70,50,60,80,90,50,100,80,70,80,100,100,60,80,60,70,60,60,80,100,100,100,40,100,60,70,100,90,100,100,100,60,50,100,100,50,60,60,80,100,40,100,80,90,100,100,100,100,100,100,100,80,100,100,70,100,100,100,80,80,90,70,100,20,90,50,80,90,100,100,60,80,80,90,70,100,80,100,100,80,100,70,80,100,100,60,100,80,100,70,80,70,70,100,70,90,100,90,100,100,100,100,90,100,100,90,90,100,100,80,100,90,60,100,90,100,100,100,100,100,70,100,80,100,90,50,100,1,1,1,1,1,1,1,0,1,0,0,0,5,5,5,5,2,50,80,90,60,70,60,70,60,100,80,70,80,70,90,100,90,50,60,90,70,80,80,90,70,90,80,80,90,80,sch3
210,3,Gp115,1,16,2,169,60,28,1,0,6,Trader,Trader,7,7,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,90,NA,90,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,70,NA,100,100,100,100,NA,70,100,90,100,100,NA,90,100,100,100,NA,100,100,100,90,NA,100,100,100,100,NA,100,100,100,80,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,80,NA,100,100,100,100,NA,100,100,100,100,NA,30,90,100,100,100,NA,100,100,100,100,NA,100,90,100,100,NA,100,90,100,100,NA,50,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,90,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,1,1,0,0,1,1,1,1,1,1,0,0,6,6,6,6,NA,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,sch3
211,3,Gp127,1,16,2,162,52,12,0,3,NA,Business man,Trader,1,1,100,100,100,100,100,90,100,100,90,100,100,100,100,90,100,50,100,100,90,90,80,100,100,80,90,100,100,90,100,90,100,100,100,100,100,90,100,100,90,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,70,100,100,100,100,100,90,100,80,50,100,100,100,100,100,90,100,100,100,90,100,100,100,100,90,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,30,70,100,90,100,80,100,100,100,90,90,100,100,100,100,90,90,100,100,90,90,50,90,100,90,80,90,100,100,80,90,70,100,100,80,80,80,100,100,90,90,70,100,100,100,100,80,100,100,100,100,100,100,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80,90,70,100,100,80,60,90,100,100,90,90,100,1,1,0,0,1,1,0,0,0,0,0,0,5,5,5,6,3,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,100,sch3
212,3,Gp132,1,16,1,155,50,25,1,NA,1,Developer,Trader,7,7,100,100,100,100,100,70,60,50,100,100,70,90,100,100,100,70,100,60,100,70,50,70,100,100,100,80,100,100,70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80,100,100,100,100,70,100,70,100,100,100,50,90,100,90,100,100,90,100,100,60,100,100,90,60,70,60,100,60,70,100,70,100,100,100,70,100,100,100,100,80,100,100,100,100,70,100,100,100,100,90,100,100,100,100,90,30,60,100,100,80,70,80,50,50,100,70,100,90,100,80,80,80,90,100,90,80,50,80,50,50,70,60,70,60,70,90,80,70,50,60,100,20,60,50,80,80,70,100,100,100,90,90,100,100,100,80,70,100,100,100,90,100,80,60,100,90,80,100,70,100,80,100,100,70,100,100,80,100,90,100,90,100,100,100,100,80,100,1,1,0,0,0,0,0,1,0,0,0,0,5,5,5,5,4,50,90,50,60,70,70,80,100,70,80,80,30,40,100,70,100,100,100,100,100,100,100,100,100,100,100,60,100,100,sch3
213,3,Gp134,1,14,1,160,49,24,1,1,0,Businessman,Trader,1,1,50,50,60,50,50,50,50,50,60,80,50,50,50,90,80,50,50,50,80,80,50,40,20,50,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,100,70,100,50,100,90,90,50,90,90,100,80,100,100,100,90,90,50,50,90,90,80,50,50,50,90,90,50,50,50,90,90,100,100,100,100,100,50,50,100,100,100,100,90,90,100,100,100,100,100,100,80,30,30,50,50,90,70,40,50,50,90,80,50,50,80,90,90,50,50,90,90,90,50,10,30,10,100,20,50,20,40,90,50,100,100,90,100,90,100,70,100,100,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,100,90,100,100,50,100,100,100,100,50,100,100,100,100,90,100,100,100,100,1,1,0,0,1,1,0,0,0,0,0,0,4,4,2,5,4,100,100,100,100,100,50,100,100,90,70,90,100,100,30,100,100,100,100,100,90,10,100,100,100,100,100,100,100,100,sch3
214,3,Gp141,1,14,1,161,53,25,1,2,2,Business man,Business woman,1,7,50,100,70,100,50,100,50,50,60,50,100,50,50,100,50,50,100,50,50,100,50,50,100,70,100,100,100,100,90,100,100,100,100,50,100,100,100,100,100,50,100,100,100,100,100,100,50,100,100,50,100,100,100,100,100,70,100,100,100,100,100,50,50,50,50,50,100,100,50,50,50,100,50,100,90,50,100,50,50,50,50,100,100,100,50,100,100,50,50,100,50,100,100,50,100,50,100,100,50,50,50,100,100,50,50,50,30,50,50,50,70,50,50,50,50,50,50,50,100,50,100,100,50,100,50,50,100,50,50,50,50,50,50,50,50,50,100,50,100,50,50,100,100,50,50,50,50,50,100,100,100,50,100,100,100,100,50,100,100,100,100,50,100,100,100,100,100,100,50,50,50,90,50,50,50,50,90,50,50,50,50,100,50,100,100,100,50,50,1,1,1,1,1,1,0,0,0,0,0,0,0,0,6,5,4,100,100,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,sch3
215,3,Gp143,1,14,1,157,39,25,1,2,2,Business man,Business woman,3,3,50,70,40,70,70,50,50,40,70,40,50,30,30,60,70,50,50,50,60,80,0,0,0,0,40,70,50,50,100,90,100,100,100,100,100,50,10,70,90,100,100,100,60,100,100,100,50,10,60,50,100,100,60,60,90,70,50,50,70,40,70,60,40,50,60,50,50,50,40,70,70,40,50,30,50,60,0,0,20,50,20,50,30,10,40,60,100,60,20,30,70,60,30,20,60,70,100,60,50,70,70,50,40,40,30,60,30,50,30,20,30,50,50,30,30,40,40,70,20,60,70,40,70,30,30,60,50,50,0,0,0,0,0,60,10,10,20,0,100,50,20,30,30,0,0,0,50,20,60,80,50,70,70,100,60,60,60,70,100,50,50,50,30,80,50,70,90,60,50,30,50,100,90,50,90,70,80,100,50,70,70,100,90,50,60,50,80,90,1,1,0,0,1,1,0,0,0,0,0,0,6,6,6,6,6,70,40,60,60,60,70,60,60,80,70,70,50,70,60,70,50,70,60,70,60,90,80,50,100,100,100,100,100,70,sch3
216,3,Gp147,1,15,1,161,52,24,1,5,NA,Engineering,Trader,7,7,100,100,60,100,NA,100,100,80,60,NA,50,70,70,60,NA,90,100,70,100,NA,100,100,100,100,NA,100,60,80,100,NA,100,100,100,100,NA,100,100,90,100,NA,100,90,100,100,NA,100,70,100,100,NA,100,100,80,100,NA,80,90,100,70,100,NA,100,100,60,100,NA,100,100,100,100,NA,100,80,70,100,NA,90,90,80,100,NA,100,100,70,100,NA,100,80,100,100,NA,100,80,90,100,NA,100,90,90,100,NA,70,100,80,100,NA,30,40,100,60,70,NA,60,80,60,60,NA,100,100,100,100,NA,100,100,100,100,NA,50,10,100,60,60,NA,100,80,70,80,NA,100,100,70,100,NA,100,90,60,100,NA,100,100,70,70,NA,100,100,80,100,NA,90,90,100,100,NA,100,100,90,60,NA,60,100,70,100,NA,100,100,60,90,NA,60,80,100,100,NA,100,80,70,100,NA,1,1,0,0,1,1,0,0,0,1,0,0,5,3,3,1,NA,100,90,100,100,100,90,90,90,100,90,80,80,80,80,80,90,90,80,90,90,90,100,100,80,70,80,100,90,100,sch3
217,3,Gp149,0,15,1,156,41,25,2,1,NA,Police,Trader,1,5,100,30,50,50,NA,30,60,90,100,NA,100,100,30,40,NA,20,100,30,100,NA,100,50,30,60,NA,30,50,20,40,NA,100,40,80,60,NA,100,40,80,100,NA,50,30,30,70,NA,30,60,40,40,NA,50,20,80,40,NA,70,50,60,80,100,NA,40,60,30,100,NA,30,70,80,100,NA,100,70,40,50,NA,50,40,20,100,NA,100,50,60,100,NA,100,40,70,100,NA,20,100,80,50,NA,100,40,90,50,NA,100,100,80,50,NA,30,40,40,80,40,NA,40,90,70,50,NA,100,70,30,70,NA,40,80,90,50,NA,50,50,70,20,50,NA,30,40,30,30,NA,30,80,40,40,NA,20,80,80,30,NA,30,100,80,100,NA,40,40,90,50,NA,100,50,100,50,NA,100,70,80,40,NA,100,70,20,30,NA,100,40,30,80,NA,100,70,30,20,NA,40,30,30,40,NA,0,0,1,0,0,1,0,1,1,0,1,1,0,5,6,0,NA,90,60,70,80,70,80,40,80,50,60,90,80,80,40,70,70,40,80,60,80,40,60,60,90,70,70,70,70,60,sch3
218,3,Gp154,1,16,2,160,56,31,0,2,NA,civil defence,Trader,7,7,100,70,100,NA,50,100,100,90,NA,50,100,100,50,NA,90,100,100,50,NA,50,100,100,100,NA,100,100,90,90,NA,90,100,90,90,NA,50,100,90,90,NA,50,100,90,100,NA,100,100,100,60,NA,100,100,90,100,NA,60,70,100,90,100,NA,50,100,90,60,NA,70,100,90,100,NA,50,100,90,100,NA,90,40,100,60,NA,80,100,90,90,NA,50,80,90,100,NA,60,100,100,90,NA,70,90,90,100,NA,60,100,100,90,NA,90,30,90,90,100,NA,100,90,100,100,NA,90,90,100,90,NA,90,90,100,90,NA,100,50,90,100,100,NA,100,80,100,100,NA,100,10,100,10,NA,100,50,90,100,NA,100,100,100,100,NA,100,100,90,90,NA,100,100,100,100,NA,90,90,100,60,NA,90,90,100,100,NA,80,100,90,100,NA,100,60,90,90,NA,100,10,90,100,NA,90,1,1,1,1,1,1,0,1,0,0,1,1,4,6,3,NA,6,100,90,100,100,100,90,100,100,100,80,90,100,100,100,90,90,100,90,90,90,90,90,100,100,90,100,100,100,100,sch3
219,3,Gp162,1,15,2,158,44,24,0,1,2,Business man,Trader,1,3,100,100,100,100,NA,50,100,100,50,NA,50,100,50,50,NA,50,100,50,20,NA,50,100,50,50,NA,50,100,50,100,NA,50,100,100,100,NA,100,100,100,100,NA,50,100,50,100,NA,50,100,100,50,NA,50,100,100,50,NA,70,50,90,50,50,NA,50,100,100,50,NA,50,100,100,50,NA,50,100,50,30,NA,50,100,50,20,NA,50,100,100,50,NA,50,100,50,50,NA,50,100,50,50,NA,50,100,50,50,NA,100,100,100,50,NA,30,50,100,50,20,NA,50,100,100,100,NA,50,100,50,50,NA,50,100,50,100,NA,50,50,10,50,20,NA,50,100,50,10,NA,50,100,50,50,NA,50,80,50,50,NA,50,100,100,50,NA,50,100,100,50,NA,50,100,50,50,NA,100,100,50,100,NA,50,100,100,50,NA,50,100,50,50,NA,50,100,100,50,NA,100,100,50,100,NA,1,1,0,1,1,1,0,1,0,0,0,0,6,6,6,6,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,60,10,100,100,100,100,100,100,100,100,100,100,100,100,100,sch3
220,3,Gp171,0,15,NA,151,39,2,0,2,1,Police,Business woman,7,7,100,50,NA,NA,NA,100,50,NA,NA,NA,100,50,NA,NA,NA,100,50,NA,NA,NA,100,50,NA,NA,NA,100,50,NA,NA,NA,100,50,NA,NA,NA,100,50,NA,NA,NA,100,50,NA,NA,NA,100,50,NA,NA,NA,100,50,NA,NA,NA,70,100,50,NA,NA,NA,90,50,NA,NA,NA,100,50,NA,NA,NA,50,50,NA,NA,NA,30,50,NA,NA,NA,100,50,NA,NA,NA,100,50,NA,NA,NA,100,50,NA,NA,NA,100,50,NA,NA,NA,100,50,NA,NA,NA,30,100,50,NA,NA,NA,100,50,NA,NA,NA,60,50,NA,NA,NA,100,50,NA,NA,NA,50,50,50,NA,NA,NA,50,50,NA,NA,NA,100,50,NA,NA,NA,100,50,NA,NA,NA,100,50,NA,NA,NA,100,50,NA,NA,NA,100,50,NA,NA,NA,100,50,NA,NA,NA,100,50,NA,NA,NA,50,50,NA,NA,NA,100,50,NA,NA,NA,100,50,NA,NA,NA,1,1,1,0,1,1,1,0,0,0,1,0,6,6,NA,NA,NA,50,50,100,50,50,50,50,50,50,50,50,50,50,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,sch3
